source_set,dataset,folder_name,attack_type,attack_family,mode,mode_inferred,model_norm,poison_rate,train_param_value,test_param_type,test_param_value,target_label,poison_seed,delta,eps,f,upgd_steps,upgd_steps_multiplier,alpha,cover_rate,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,nc_max_anomaly_index,nc_is_poisoned,S_stealth,S_stealth_tpr
new,cifar10,SIG_0.050_delta=20_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,all-to-one,False,mobilenet,0.05,20.0,test_delta,20.0,0,2333,20.0,,6.0,,,,,0.5654658419112533,0.3112204812255527,0.996875,0.9994439037953566,5.186546802520752,True,,
baseline,cifar10,SIG_0.050_delta=28_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,unknown,True,mobilenet,0.05,28.0,test_delta,28.0,,2333,28.0,,6.0,,,,,0.7699065738341969,0.4415154614076573,0.703125,0.8586125399694147,1.7068631649017334,False,,
new,cifar10,SIG_0.050_delta=28_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,all-to-one,False,mobilenet,0.05,28.0,test_delta,28.0,0,2333,28.0,,6.0,,,,,0.4619643701334817,0.25964229820708984,0.999531,0.9998609759488392,2.74507737159729,True,,
baseline,cifar10,SIG_0.050_delta=36_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,unknown,True,mobilenet,0.05,36.0,test_delta,36.0,,2333,36.0,,6.0,,,,,0.8334555076911699,0.5395143712008659,0.731563,0.9399416098985125,1.2726303339004517,False,,
new,cifar10,SIG_0.050_delta=36_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,all-to-one,False,mobilenet,0.05,36.0,test_delta,36.0,0,2333,36.0,,6.0,,,,,0.757257692976356,0.44532471281138164,0.998594,0.9995829278465175,1.7007746696472168,False,,
baseline,cifar10,SIG_0.050_delta=44_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,unknown,True,mobilenet,0.05,44.0,test_delta,44.0,,2333,44.0,,6.0,,,,,0.8010273794603362,0.4665941858437631,0.625469,0.9428611149728903,1.6915830373764038,False,,
new,cifar10,SIG_0.050_delta=44_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,all-to-one,False,mobilenet,0.05,44.0,test_delta,44.0,0,2333,44.0,,6.0,,,,,0.6263748435979424,0.31932356140933016,1.0,1.0,2.3254826068878174,False,,
baseline,cifar10,SIG_0.050_delta=56_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,unknown,True,mobilenet,0.05,56.0,test_delta,56.0,,2333,56.0,,6.0,,,,,0.5095216060181945,0.31964826478502906,0.935625,0.9933268455442792,2.1268622875213623,False,,
new,cifar10,SIG_0.050_delta=56_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,all-to-one,False,mobilenet,0.05,56.0,test_delta,56.0,0,2333,56.0,,6.0,,,,,0.42718773460308634,0.23892853734472297,0.999375,1.0,7.480678081512451,False,,
baseline,cifar10,SIG_0.005_delta=4_f=6_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,unknown,True,resnet18,0.005,4.0,test_delta,4.0,,2333,4.0,,6.0,,,,,0.9261774193548387,0.5241824391816216,0.057813,0.004309745585986376,3.0990073680877686,False,,
new,cifar10,SIG_0.005_delta=4_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,all-to-one,False,resnet18,0.005,4.0,test_delta,4.0,0,2333,4.0,,6.0,,,,,0.8352069575471698,0.48265498757244996,0.091875,0.08119004587793688,7.173864841461182,True,,
baseline,cifar10,SIG_0.005_delta=12_f=6_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,unknown,True,resnet18,0.005,12.0,test_delta,12.0,,2333,12.0,,6.0,,,,,0.907516369047619,0.5329325083668224,0.094062,0.07298762685944668,1.9864917993545532,False,,
new,cifar10,SIG_0.005_delta=12_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,all-to-one,False,resnet18,0.005,12.0,test_delta,12.0,0,2333,12.0,,6.0,,,,,0.49691772408207335,0.27602638736575025,0.885312,0.965522035312109,2.6561501026153564,False,,
baseline,cifar10,SIG_0.005_delta=20_f=6_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,unknown,True,resnet18,0.005,20.0,test_delta,20.0,,2333,20.0,,6.0,,,,,0.8675636254501801,0.47798457206813305,0.288438,0.46322813846795496,4.644643306732178,False,,
new,cifar10,SIG_0.005_delta=20_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,all-to-one,False,resnet18,0.005,20.0,test_delta,20.0,0,2333,20.0,,6.0,,,,,0.5491750564413715,0.32769705465998344,0.919375,0.9852634505769499,1.4588947296142578,False,,
