dataset,arch,group_id,point_id,attack_type,trigger_type,poison_rate,train_param_value,test_param_type,test_param_value,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,cover_rate
cifar10,vgg,69,1,adaptive_patch,adaptive_patch,0.005,0.2,test_alpha,0.2,0.5950690154440155,0.3684108538637859,0.756563,0.6481301265118865,0.01
cifar10,vgg,70,1,adaptive_patch,adaptive_patch,0.005,0.3,test_alpha,0.3,0.5946109538327526,0.4524325024376249,0.540156,0.3191992214653135,0.01
cifar10,vgg,71,1,adaptive_patch,adaptive_patch,0.005,0.4,test_alpha,0.4,0.5863355045492142,0.4172858868387007,0.620938,0.3361601557069373,0.01
cifar10,vgg,72,1,adaptive_patch,adaptive_patch,0.01,0.0,test_alpha,0.0,0.6338849105937922,0.47074128927486614,0.473594,0.41206728764076184,0.02
cifar10,vgg,73,1,adaptive_patch,adaptive_patch,0.01,0.1,test_alpha,0.1,0.6410490810359231,0.4463439412927038,0.344687,0.3328235784790769,0.02
cifar10,vgg,74,1,adaptive_patch,adaptive_patch,0.01,0.2,test_alpha,0.2,0.6647499423644412,0.45982894801169893,0.50625,0.3768942026970666,0.02
cifar10,vgg,75,1,adaptive_patch,adaptive_patch,0.01,0.3,test_alpha,0.3,0.6474431674265451,0.47023953094705095,0.352187,0.2742944529403587,0.02
cifar10,vgg,76,1,adaptive_patch,adaptive_patch,0.01,0.4,test_alpha,0.4,0.6425236996644296,0.4857066392878966,0.402187,0.3314333379674684,0.02
cifar10,vgg,77,1,adaptive_patch,adaptive_patch,0.05,0.0,test_alpha,0.0,0.5699029952348537,0.33938743320018205,0.803125,0.40845266231057975,0.1
cifar10,vgg,78,1,adaptive_patch,adaptive_patch,0.05,0.1,test_alpha,0.1,0.564828167115903,0.3603405052709576,0.816562,0.41262338384540526,0.1
cifar10,vgg,79,1,adaptive_patch,adaptive_patch,0.05,0.2,test_alpha,0.2,0.5228214285714285,0.2949760086118013,0.881719,0.506047546225497,0.1
cifar10,vgg,80,1,adaptive_patch,adaptive_patch,0.05,0.3,test_alpha,0.3,0.5036266499211979,0.34727566652039277,0.781875,0.3528430418462394,0.1
cifar10,vgg,81,1,adaptive_patch,adaptive_patch,0.05,0.4,test_alpha,0.4,0.4900567196531792,0.32433822903132625,0.778281,0.3607674127624079,0.1
cifar10,vgg,82,1,basic,basic,0.005,0.2,test_alpha,0.2,0.8712033179012346,0.48224721780994795,0.384375,0.04504379257611567,
cifar10,vgg,83,1,basic,basic,0.005,0.3,test_alpha,0.3,0.19429576281515526,0.09842217067015868,0.959688,0.9980536632837481,
cifar10,vgg,84,1,basic,basic,0.005,0.4,test_alpha,0.4,0.16723918787373104,0.09025149684326195,0.984688,0.9997219518976783,
cifar10,vgg,85,1,basic,basic,0.005,0.5,test_alpha,0.5,0.12248306513276797,0.06485966099000573,0.998594,1.0,
cifar10,vgg,86,1,basic,basic,0.005,0.6,test_alpha,0.6,0.06522370707632419,0.04568693911917954,1.0,1.0,
cifar10,vgg,87,1,basic,basic,0.005,0.7,test_alpha,0.7,0.06782473846100379,0.05017436615574811,0.998125,1.0,
cifar10,vgg,88,1,basic,basic,0.005,0.8,test_alpha,0.8,0.03943607065897403,0.03892572475716016,1.0,1.0,
cifar10,vgg,89,1,basic,basic,0.005,0.9,test_alpha,0.9,0.00578475601279016,0.031310118135167486,1.0,1.0,
cifar10,vgg,90,1,basic,basic,0.005,1.0,test_alpha,1.0,0.0030937500000000062,0.02901067067672225,1.0,1.0,
cifar10,vgg,91,1,basic,basic,0.01,0.2,test_alpha,0.2,0.29205639244748993,0.14040890815190088,0.722031,0.9332684554427916,
cifar10,vgg,92,1,basic,basic,0.01,0.3,test_alpha,0.3,0.1975507567849687,0.09388282382343571,0.952031,0.9988878075907132,
cifar10,vgg,93,1,basic,basic,0.01,0.4,test_alpha,0.4,0.10294160177975531,0.05775166163221224,0.986563,0.9998609759488392,
cifar10,vgg,94,1,basic,basic,0.01,0.5,test_alpha,0.5,0.1750652066244961,0.07215142477627046,0.991719,1.0,
cifar10,vgg,95,1,basic,basic,0.01,0.6,test_alpha,0.6,0.13638031766995695,0.05607539797111505,0.997969,1.0,
cifar10,vgg,96,1,basic,basic,0.01,0.7,test_alpha,0.7,0.08470778882246632,0.049348433247233925,1.0,1.0,
cifar10,vgg,97,1,basic,basic,0.01,0.8,test_alpha,0.8,0.09903912223689693,0.047142311339806064,1.0,1.0,
cifar10,vgg,98,1,basic,basic,0.01,0.9,test_alpha,0.9,0.1210739303837064,0.04768464226649205,0.999531,1.0,
cifar10,vgg,99,1,basic,basic,0.01,1.0,test_alpha,1.0,0.022249999999999992,0.02459525121192574,1.0,1.0,
cifar10,vgg,100,1,basic,basic,0.05,0.2,test_alpha,0.2,0.16601501264222507,0.09254729774221704,0.817969,0.989712220214097,
cifar10,vgg,101,1,basic,basic,0.05,0.3,test_alpha,0.3,0.16172398803727916,0.07286279736575052,0.949688,0.9994439037953566,
