dataset,arch,group_id,point_id,attack_type,trigger_type,poison_rate,train_param_value,test_param_type,test_param_value,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,cover_rate,nc_max_anomaly_index,nc_is_poisoned,S_stealth,S_stealth_tpr
cifar10,resnet18,102,1,basic,basic,0.05,0.4,test_alpha,0.4,0.2789666745813987,0.08683942367403619,0.820312,0.9880439316001668,,4.143829822540283,true,0.10187450654274476,0.2555763072686348
cifar10,resnet18,103,1,basic,basic,0.05,0.5,test_alpha,0.5,0.35076566437972556,0.09941952999166048,0.919687,0.9929097733907966,,6.280982971191406,true,0.14545437873740097,0.346531286247853
cifar10,resnet18,104,1,basic,basic,0.05,0.6,test_alpha,0.6,0.40450478760445685,0.11690218584153667,0.979375,0.998192687334909,,3.0492827892303467,true,0.10875954240659108,0.3388416238169273
cifar10,resnet18,105,1,basic,basic,0.05,0.7,test_alpha,0.7,0.21706359649122808,0.06359574189512351,0.995313,0.9984707354372306,,4.696346282958984,true,0.09194437023296001,0.21471865390984365
cifar10,resnet18,106,1,basic,basic,0.05,0.8,test_alpha,0.8,0.20259479311543804,0.055824410812064795,0.999531,0.9995829278465175,,4.465878486633301,true,0.08211300677996575,0.19952931262266435
cifar10,resnet18,107,1,basic,basic,0.05,0.9,test_alpha,0.9,0.19421036076741272,0.05058684868340757,0.998125,1.0,,14.384140968322754,true,0.23346556493847553,0.34836437460567965
cifar10,resnet18,108,1,basic,basic,0.05,1.0,test_alpha,1.0,0.20528476084538383,0.051543211513775056,0.999531,0.9998609759488392,,7.139004707336426,true,0.12060920281373115,0.24360244227901817
cifar10,resnet18,109,1,belt,belt,0.01,0.05,test_mask_rate,0.05,0.4556013736467448,0.19716411431687741,0.998281,0.9374391769776171,0.5,2.2667596340179443,false,0.15773129145350195,0.3644810989173959
cifar10,resnet18,110,1,belt,belt,0.01,0.1,test_mask_rate,0.1,0.5519077617454342,0.25513333882874734,0.772969,0.997219518976783,0.5,3.176162004470825,false,0.20410667106299787,0.4415262093963474
cifar10,resnet18,111,1,belt,belt,0.01,0.15,test_mask_rate,0.15,0.46996950594327824,0.25127701811732805,0.897656,1.0,0.5,1.224567174911499,false,0.20102161449386247,0.3759756047546226
cifar10,resnet18,112,1,belt,belt,0.01,0.2,test_mask_rate,0.2,0.518002024537745,0.26482891246646423,0.968437,1.0,0.5,1.725853443145752,false,0.2118631299731714,0.41440161963019606
cifar10,resnet18,113,1,belt,belt,0.01,0.25,test_mask_rate,0.25,0.3183089688282772,0.17766074304457913,0.913594,0.999026831641874,0.5,2.3911495208740234,false,0.1421285944356633,0.25464717506262174
cifar10,resnet18,114,1,belt,belt,0.01,0.3,test_mask_rate,0.3,0.41245113739051853,0.18638675158379903,0.939844,1.0,0.5,2.810408592224121,false,0.14910940126703923,0.32996090991241483
cifar10,resnet18,115,1,belt,belt,0.02,0.05,test_mask_rate,0.05,0.4769667090264942,0.3068836933564757,0.982187,0.9025441401362436,0.5,6.9552321434021,true,0.3219995851244849,0.4580659976604997
cifar10,resnet18,116,1,belt,belt,0.02,0.1,test_mask_rate,0.1,0.5045346246173114,0.29226007533052234,0.843906,0.999026831641874,0.5,6.209476470947266,true,0.2986054182368733,0.4684250576663045
cifar10,resnet18,117,1,belt,belt,0.02,0.15,test_mask_rate,0.15,0.5165817575083427,0.24350811597510036,0.942031,0.9998609759488392,0.5,3.0736753940582275,true,0.2104268222019728,0.4288857354285667
cifar10,resnet18,118,1,belt,belt,0.02,0.2,test_mask_rate,0.2,0.45997759106075353,0.22948749297068327,0.959375,1.0,0.5,2.7249135971069336,false,0.18358999437654663,0.36798207284860285
cifar10,resnet18,119,1,belt,belt,0.02,0.25,test_mask_rate,0.25,0.5333480119560684,0.30231352185730476,0.984844,1.0,0.5,1.0405504703521729,false,0.2418508174858438,0.42667840956485475
cifar10,resnet18,120,1,belt,belt,0.02,0.3,test_mask_rate,0.3,0.4803432721048242,0.22863072305556043,0.992188,1.0,0.5,4.244946002960205,false,0.18290457844444835,0.3842746176838594
