dataset,arch,attack_type,n_points,transfer_mean,stealth_auc_mean,stealth_tpr_mean,stealth_mean_mean,asr_mean,tradeoff_hmean_mean
tiny_imagenet,resnet18,adaptive_patch,15,0.8498492,0.13044355784502304,0.3651343110192772,0.2477889344321501,0.706279829188646,0.3788371515556677
tiny_imagenet,resnet18,belt,18,0.9887770555555555,0.11965221690488903,0.3408665492746071,0.23025938308974808,0.9714477099556225,0.3620717216625701
tiny_imagenet,resnet18,basic,27,0.9306345925925925,0.10947351108208131,0.22755070531338703,0.16851210819773416,0.8181594053234345,0.27247859468572017
tiny_imagenet,vgg,WaNet,24,0.6269053333333333,0.4170707462794807,0.812979014226285,0.6150248802528829,0.5191796449803231,0.5499854520318507
tiny_imagenet,vgg,blend,21,0.7593682380952381,0.3289324297886166,0.7115824783843276,0.5202574540864722,0.738244757837825,0.5057145184224439
tiny_imagenet,vgg,upgd,16,0.511714875,0.5026074615439358,0.8897430172738828,0.6961752394089094,0.41823662396382816,0.5022644655554653
tiny_imagenet,vgg,adaptive_blend,20,0.63467345,0.36264001727405415,0.7461802851899906,0.5544101512320224,0.5684438583270535,0.49276224440708444
tiny_imagenet,vgg,SIG,14,0.45696335714285713,0.5213777964010248,0.8709696889017973,0.6961737426514111,0.3842896616069185,0.46600443784737244
tiny_imagenet,vgg,belt,18,0.8161082777777778,0.2844284931163361,0.5799897002283124,0.43220909667232427,0.7693558290770046,0.4605349895860678
tiny_imagenet,vgg,adaptive_patch,15,0.8201675333333333,0.13143608679163016,0.3213588084596498,0.22639744762563999,0.7188311144603534,0.33616977381878227
tiny_imagenet,vgg,basic,27,0.7666480370370371,0.14013825860550227,0.3110430342887092,0.22559064644710577,0.7344841701787194,0.19130256425071077
