pair_id,dataset,model_norm,attack_family,poison_rate,target_label,mode,f,delta,eps,upgd_steps,upgd_steps_multiplier,folder_new,folder_baseline,stealth_tpr_avg_new,stealth_tpr_avg_baseline,stealth_tpr_avg_delta,stealth_auc_avg_new,stealth_auc_avg_baseline,stealth_auc_avg_delta,transfer_rate_new,transfer_rate_baseline,transfer_rate_delta,asr_new,asr_baseline,asr_delta,nc_max_anomaly_index_new,nc_max_anomaly_index_baseline,nc_max_anomaly_index_delta,S_stealth_new,S_stealth_baseline,S_stealth_delta,S_stealth_tpr_new,S_stealth_tpr_baseline,S_stealth_tpr_delta
cifar10|resnet18|upgd|0.005||all-to-one|||6.0||#1,cifar10,resnet18,upgd,0.005,,all-to-one,,,6.0,,,upgd_0.005_eps=6.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=ResNet18_cifar10,upgd_0.005_eps=6.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=ResNet18_cifar10,0.3225,0.7631671637744035,-0.4406671637744035,0.10926049999999998,0.40995857582860395,-0.300698075828604,0.999375,0.595781,0.403594,1.0,0.6407618518003615,0.3592381481996385,,1.8836889266967773,,,,,,,
cifar10|resnet18|upgd|0.005||all-to-one|||8.0||#1,cifar10,resnet18,upgd,0.005,,all-to-one,,,8.0,,,upgd_0.005_eps=8.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=ResNet18_cifar10,upgd_0.005_eps=8.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=ResNet18_cifar10,0.388,0.8024409908186687,-0.4144409908186687,0.107927,0.4058658384212537,-0.2979388384212537,0.988906,0.601719,0.38718699999999995,0.9993048797441958,0.7268177394689281,0.27248714027526766,,4.256786346435547,,,,,,,
cifar10|resnet18|upgd|0.005||all-to-one|||10.0||#1,cifar10,resnet18,upgd,0.005,,all-to-one,,,10.0,,,upgd_0.005_eps=10.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=ResNet18_cifar10,upgd_0.005_eps=10.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=ResNet18_cifar10,0.4095,0.6506755482085517,-0.2411755482085517,0.12368625,0.29253432704965454,-0.16884807704965454,0.998594,0.7025,0.29609399999999997,1.0,0.8224662866675935,0.17753371333240653,,2.3838770389556885,,,,,,,
cifar10|resnet18|upgd|0.005||all-to-one|||12.0||#1,cifar10,resnet18,upgd,0.005,,all-to-one,,,12.0,,,upgd_0.005_eps=12.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=ResNet18_cifar10,upgd_0.005_eps=12.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=ResNet18_cifar10,0.6779999999999999,0.5830827199869153,0.09491728001308464,0.3208417499999999,0.22154419332209474,0.09929755667790519,0.999687,0.664687,0.33499999999999996,1.0,0.849993048797442,0.15000695120255803,,2.8042550086975098,,,,,,,
cifar10|resnet18|upgd|0.01||all-to-one|||4.0||#1,cifar10,resnet18,upgd,0.01,,all-to-one,,,4.0,,,upgd_0.010_eps=4.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=ResNet18_cifar10,upgd_0.010_eps=4.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=ResNet18_cifar10,0.0,0.6452054204062353,-0.6452054204062353,0.04194025000000012,0.4002650470377431,-0.358324797037743,0.994375,0.756094,0.23828099999999997,0.9997219518976783,0.5886278326150424,0.41109411928263595,,1.9705346822738647,,,,,,,
cifar10|resnet18|upgd|0.01||all-to-one|||6.0||#1,cifar10,resnet18,upgd,0.01,,all-to-one,,,6.0,,,upgd_0.010_eps=6.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=ResNet18_cifar10,upgd_0.010_eps=6.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=ResNet18_cifar10,0.0,0.6139486892583119,-0.6139486892583119,0.04271225000000001,0.2800093969940327,-0.2372971469940327,0.999219,0.928594,0.07062499999999994,1.0,0.8152370360072293,0.1847629639927707,,1.8386363983154297,,,,,,,
cifar10|resnet18|upgd|0.01||all-to-one|||8.0||#1,cifar10,resnet18,upgd,0.01,,all-to-one,,,8.0,,,upgd_0.010_eps=8.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=ResNet18_cifar10,upgd_0.010_eps=8.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=ResNet18_cifar10,0.45699999999999996,0.5165605975828111,-0.05956059758281118,0.10917575000000013,0.3200802978011026,-0.21090454780110246,0.994687,0.764219,0.230468,0.9998609759488392,0.7764493257333519,0.22341165021548726,,3.8351263999938965,,,,,,,
cifar10|resnet18|upgd|0.01||all-to-one|||10.0||#1,cifar10,resnet18,upgd,0.01,,all-to-one,,,10.0,,,upgd_0.010_eps=10.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=ResNet18_cifar10,upgd_0.010_eps=10.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=ResNet18_cifar10,0.05500000000000005,0.5772141515754425,-0.5222141515754425,0.05257925000000008,0.33580870676346686,-0.2832294567634668,0.998594,0.79375,0.20484400000000003,1.0,0.8559710829973586,0.14402891700264142,,3.1154279708862305,,,,,,,
cifar10|resnet18|upgd|0.01||all-to-one|||12.0||#1,cifar10,resnet18,upgd,0.01,,all-to-one,,,12.0,,,upgd_0.010_eps=12.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=ResNet18_cifar10,upgd_0.010_eps=12.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=ResNet18_cifar10,0.0,0.6249585990976976,-0.6249585990976976,0.027459750000000005,0.24812996854488512,-0.2206702185448851,0.999687,0.854844,0.14484299999999994,1.0,0.8936466008619491,0.10635339913805086,,1.2216695547103882,,,,,,,
cifar10|resnet18|upgd|0.01||all-to-one|||16.0||#1,cifar10,resnet18,upgd,0.01,,all-to-one,,,16.0,,,upgd_0.010_eps=16.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=ResNet18_cifar10,upgd_0.010_eps=16.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=ResNet18_cifar10,0.35950000000000004,0.5084891181458451,-0.14898911814584503,0.11812849999999997,0.2301527393182814,-0.11202423931828143,0.999219,0.907969,0.09124999999999994,0.9998609759488392,0.9837341860141805,0.01612678993465866,,1.6968339681625366,,,,,,,
