pair_id,dataset,model_norm,attack_family,poison_rate,target_label,mode,f,delta,eps,upgd_steps,upgd_steps_multiplier,folder_new,folder_baseline,stealth_tpr_avg_new,stealth_tpr_avg_baseline,stealth_tpr_avg_delta,stealth_auc_avg_new,stealth_auc_avg_baseline,stealth_auc_avg_delta,transfer_rate_new,transfer_rate_baseline,transfer_rate_delta,asr_new,asr_baseline,asr_delta,nc_max_anomaly_index_new,nc_max_anomaly_index_baseline,nc_max_anomaly_index_delta,S_stealth_new,S_stealth_baseline,S_stealth_delta,S_stealth_tpr_new,S_stealth_tpr_baseline,S_stealth_tpr_delta
cifar10|mobilenet|sig|0.05|6.0|56.0|||#1,cifar10,mobilenet,sig,0.05,0,all-to-one,6.0,56.0,,,,SIG_0.050_delta=56_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG_0.050_delta=56_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,0.42718773460308634,0.5095216060181945,-0.08233387141510817,0.23892853734472297,0.31964826478502906,-0.08071972744030609,0.999375,0.935625,0.06374999999999997,1.0,0.9933268455442792,0.006673154455720809,7.480678081512451,2.1268622875213623,5.353815793991089,,,,,,
cifar10|resnet18|sig|0.005|6.0|4.0|||#1,cifar10,resnet18,sig,0.005,0,all-to-one,6.0,4.0,,,,SIG_0.005_delta=4_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG_0.005_delta=4_f=6_poison_seed=2333_arch=ResNet18_cifar10,0.8352069575471698,0.9261774193548387,-0.09097046180766888,0.48265498757244996,0.5241824391816216,-0.041527451609171595,0.091875,0.057813,0.034061999999999995,0.08119004587793688,0.004309745585986376,0.0768803002919505,7.173864841461182,3.0990073680877686,4.074857473373413,,,,,,
cifar10|resnet18|sig|0.005|6.0|12.0|||#1,cifar10,resnet18,sig,0.005,0,all-to-one,6.0,12.0,,,,SIG_0.005_delta=12_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG_0.005_delta=12_f=6_poison_seed=2333_arch=ResNet18_cifar10,0.49691772408207335,0.907516369047619,-0.41059864496554566,0.27602638736575025,0.5329325083668224,-0.25690612100107213,0.885312,0.094062,0.79125,0.965522035312109,0.07298762685944668,0.8925344084526623,2.6561501026153564,1.9864917993545532,0.6696583032608032,,,,,,
cifar10|resnet18|sig|0.005|6.0|20.0|||#1,cifar10,resnet18,sig,0.005,0,all-to-one,6.0,20.0,,,,SIG_0.005_delta=20_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG_0.005_delta=20_f=6_poison_seed=2333_arch=ResNet18_cifar10,0.5491750564413715,0.8675636254501801,-0.3183885690088085,0.32769705465998344,0.47798457206813305,-0.1502875174081496,0.919375,0.288438,0.6309370000000001,0.9852634505769499,0.46322813846795496,0.5220353121089949,1.4588947296142578,4.644643306732178,-3.18574857711792,,,,,,
cifar10|resnet18|sig|0.005|6.0|28.0|||#1,cifar10,resnet18,sig,0.005,0,all-to-one,6.0,28.0,,,,SIG_0.005_delta=28_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG_0.005_delta=28_f=6_poison_seed=2333_arch=ResNet18_cifar10,0.4753564457220747,0.8264289719296596,-0.3510725262075849,0.26334212462993367,0.4820170215656412,-0.21867489693570752,0.994062,0.407656,0.586406,0.9944390379535659,0.7391908800222439,0.25524815793132205,2.88242244720459,2.1705520153045654,0.7118704319000244,,,,,,
cifar10|resnet18|sig|0.005|6.0|36.0|||#1,cifar10,resnet18,sig,0.005,0,all-to-one,6.0,36.0,,,,SIG_0.005_delta=36_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG_0.005_delta=36_f=6_poison_seed=2333_arch=ResNet18_cifar10,0.6973846197473126,0.5646230793916291,0.13276154035568344,0.32368055986808975,0.4756836893098424,-0.15200312944175265,0.992969,0.486563,0.5064059999999999,0.9958292784651744,0.8935075768107883,0.10232170165438614,4.177872657775879,1.7865824699401855,2.3912901878356934,,,,,,
cifar10|resnet18|sig|0.005|6.0|44.0|||#1,cifar10,resnet18,sig,0.005,0,all-to-one,6.0,44.0,,,,SIG_0.005_delta=44_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG_0.005_delta=44_f=6_poison_seed=2333_arch=ResNet18_cifar10,0.7567309085841695,0.7762416530339084,-0.01951074444973888,0.37379175321459024,0.3997770161376072,-0.02598526292301695,0.997656,0.809688,0.18796800000000002,0.9976365911302655,0.9347977200055609,0.06283887112470454,1.0743435621261597,2.5238139629364014,-1.4494704008102417,,,,,,
cifar10|resnet18|sig|0.005|6.0|56.0|||#1,cifar10,resnet18,sig,0.005,0,all-to-one,6.0,56.0,,,,SIG_0.005_delta=56_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG_0.005_delta=56_f=6_poison_seed=2333_arch=ResNet18_cifar10,0.531288126740947,0.5770854664287794,-0.045797339687832395,0.316318992713146,0.3771299191843416,-0.06081092647119557,0.994844,0.844844,0.1499999999999999,0.998192687334909,0.9545391352704018,0.04365355206450716,1.5710369348526,3.4714338779449463,-1.9003969430923462,,,,,,
cifar10|resnet18|sig|0.01|6.0|4.0|||#1,cifar10,resnet18,sig,0.01,0,all-to-one,6.0,4.0,,,,SIG_0.010_delta=4_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG_0.010_delta=4_f=6_poison_seed=2333_arch=ResNet18_cifar10,0.6971590909090909,0.9246354166666667,-0.22747632575757581,0.40309687421126195,0.5113223095778986,-0.10822543536663665,0.5275,0.040938,0.48656199999999994,0.6851105241206729,0.00333657722786042,0.6817739468928125,4.642479419708252,1.26068115234375,3.381798267364502,,,,,,
cifar10|resnet18|sig|0.01|6.0|12.0|||#1,cifar10,resnet18,sig,0.01,0,all-to-one,6.0,12.0,,,,SIG_0.010_delta=12_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG_0.010_delta=12_f=6_poison_seed=2333_arch=ResNet18_cifar10,0.5338216248590756,0.8206269793666027,-0.2868053545075271,0.27735849792596157,0.5078522324816925,-0.23049373455573097,0.944063,0.196406,0.747657,0.9865146670373974,0.21729459196440984,0.7692200750729876,2.7709062099456787,1.8994616270065308,0.871444582939148,,,,,,
